ID_Capsula_Padre,Titulo_Episodio,Link_YouTube
amplificado,(HD) PUERTO CANDELARIA / CUMBIA REBELDE : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=0JRCXheZfWo
amplificado,(HD) FRIKSTAILERS / KEPLER : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=aWNh3PfYEJk
amplificado,"(HD) MR BLEAT / CHICOS, CHICAS : AMPLIFICADO (COLOMBIA)",https://www.youtube.com/watch?v=BY3LOOt4rKY
amplificado,(HD) CARLOS RICO / UN LLANERO DE CASTA : AMPLIFICADO (CIMARRON DE CIMARRONES),https://www.youtube.com/watch?v=3URhbrlPfMc
amplificado,REBEL CATS / PRISIONERO : AMPLIFICADO (MÉXICO),https://www.youtube.com/watch?v=vZdvhARU75E
amplificado,(HD) BUENDÍA / FIREFLIES : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=fD0Y2ruBV-U
amplificado,(HD) PERNETT / ESTA NOCHE : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=xPUG-EIZ4sE
amplificado,(HD) JUANA MOLINA / LO DECIDÍ YO : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=oPjdWHYGHSY
amplificado,LOS TRES / TIRATE: AMPLIFICADO (CHILE) EN VIVO,https://www.youtube.com/watch?v=x-yej4UlGAE
amplificado,(HD) LUZMILA CARPIO / YANAPARIWAIKU : AMPLIFICADO (BOLIVIA),https://www.youtube.com/watch?v=zhrcuUkxPms
amplificado,"(HD) TRIPLE X / URIBE NO HA MUERTO : AMPLIFICADO (BOGOTÁ, COLOMBIA)",https://www.youtube.com/watch?v=W0hZBR9NOX0
amplificado,(HD) TRIPLEX EN AMPLIFICADO!!!,https://www.youtube.com/watch?v=liZptlsOxHo
amplificado,"(HD) I.R.A. / FIRMES : AMPLIFICADO (MEDELLIN, COLOMBIA)",https://www.youtube.com/watch?v=ooIiX6YVPhc
amplificado,(HD) PETRONA MARTÍNEZ / EL VENTARRÓN : AMPLIFICADO (COLOMBIA)  EN VIVO,https://www.youtube.com/watch?v=JaD8fw_AtBc
amplificado,(HD) LOS VEGA / EL PAJARO CU : AMPLIFICADO (MEXICO),https://www.youtube.com/watch?v=rf8W5RmyAPQ
amplificado,(HD) SON RUMBERO´S / AMPLIFICADO EN MEDELLIN,https://www.youtube.com/watch?v=SAuGgX3oxI0
amplificado,(HD) KOYI K UTHO / MECHANICAL ANIMAL : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=nMW5SnmD39Y
amplificado,(HD) MARKY RAMONE'S BLITZKRIEG EN BOGOTA : AMPLIFICADO,https://www.youtube.com/watch?v=ePcxeZ2F6Dg
amplificado,"(HD) HELLO AMPLIFICADO!! : KUSTURICA AND THE NO SMOKING BAND, BOGOTA, COLOMBIA",https://www.youtube.com/watch?v=1Ycrv8ojvtI
amplificado,"(HD) COLOMBIA EN WOMEX 2013 / CARDIFF, WALES, UK",https://www.youtube.com/watch?v=GY9MOAMjgxw
amplificado,(HD) GORGEUS GEORGE / JULIUS CAESAR : AMPLIFICADO (LONDRES),https://www.youtube.com/watch?v=cd7LkAM9thY
amplificado,(HD) WARA / LEAVE TO REMAIN : AMPLIFICADO (LONDRES),https://www.youtube.com/watch?v=bXCXX0Q0Xig
amplificado,(HD) SUPERANFOR / VOX POPULI : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=sKy6XYtZ8hg
amplificado,(HD) LA MINITK DEL MIEDO / YO REINARÉ: AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=I3Zh-c9D5xA
amplificado,(HD) LA 33 / PATACÓN CON QUESO : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=IbA72cPPWgw
amplificado,(HD) ALFREDO GUTIERREZ / LOS NOVIOS : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=F_a1ED7fZ3A
amplificado,(HD) ALFREDO GUTIERREZ EN AMPLIFICADO,https://www.youtube.com/watch?v=jbBGI0wLePc
amplificado,"(HD) CHARLES KING / BICARBONATO : AMPLIFICADO (CARTAGENA, COLOMBIA)",https://www.youtube.com/watch?v=HQeTG9TYdyk
amplificado,(HD) CHARLES KING EN AMPLIFICADO.TV,https://www.youtube.com/watch?v=t80niskHIvM
amplificado,(HD) GRUPO BONGAR / A REA : AMPLIFICADO (WOMEX 2013),https://www.youtube.com/watch?v=lU4D_K838r0
amplificado,"(HD) LE-MAT / 5-7-5 : AMPLIFICADO (MONTERREY, MEXICO)",https://www.youtube.com/watch?v=H7O_gAmOiuo
